Battery_ID,Voltage_V,Current_A,Temperature_C,Charge_Cycles,State_of_Health_%,RUL_Cycles
BAT-009,3.69,1.54,24.6,415,90.27,804.0
BAT-002,3.2,1.73,49.7,121,92.65,839.0
BAT-010,3.04,0.81,48.6,704,80.95,605.0
BAT-009,3.37,0.59,34.8,318,90.36,794.0
BAT-010,3.94,0.72,35.4,464,87.12,767.0
BAT-005,3.33,1.7,34.4,1065,73.35,476.0
BAT-002,3.26,0.69,39.1,724,80.08,596.0
BAT-004,3.26,1.25,22.7,1133,72.32,458.0
BAT-007,3.62,1.6,21.0,55,99.76,990.0
BAT-008,4.17,1.28,21.7,1031,74.34,497.0
BAT-003,3.55,0.83,33.3,619,84.0,681.0
BAT-001,3.67,1.05,28.3,456,88.15,756.0
BAT-004,4.03,2.36,38.7,75,96.87,944.0
BAT-002,3.64,1.85,49.8,1078,69.46,391.0
BAT-008,3.22,1.49,31.6,1035,73.17,467.0
BAT-004,3.36,0.53,37.2,439,86.52,732.0
BAT-002,3.37,2.48,32.5,759,79.38,590.0
BAT-006,3.48,1.84,45.4,620,80.46,617.0
BAT-006,3.51,1.13,47.1,803,77.98,585.0
BAT-010,3.96,2.26,46.3,195,94.68,906.0
BAT-004,3.42,1.02,49.2,834,76.27,528.0
BAT-006,3.56,1.59,20.8,575,86.59,729.0
BAT-002,3.75,1.77,45.2,62,97.56,949.0
BAT-010,3.45,0.94,42.6,952,73.25,452.0
BAT-002,4.0,2.46,26.9,433,88.01,767.0
BAT-010,3.7,2.0,48.7,605,83.5,660.0
BAT-004,3.35,1.62,24.4,936,76.51,526.0
BAT-008,3.86,0.86,40.4,68,95.47,916.0
BAT-007,3.63,0.61,26.7,624,83.59,669.0
BAT-009,3.64,1.14,32.9,800,79.63,588.0
BAT-008,3.58,2.01,41.6,1053,71.22,412.0
BAT-005,3.6,1.04,36.9,468,84.34,699.0
BAT-002,3.92,1.58,32.8,468,87.2,736.0
BAT-005,3.12,1.96,29.8,171,95.0,894.0
BAT-008,3.4,0.72,45.2,481,85.97,701.0
BAT-010,3.09,1.87,24.3,93,98.93,978.0
BAT-009,3.9,0.68,32.9,430,88.51,767.0
BAT-009,3.33,2.43,47.1,194,93.18,865.0
BAT-001,4.08,1.48,45.4,412,88.72,763.0
BAT-009,3.63,0.8,32.0,1123,71.23,432.0
BAT-007,3.96,1.18,42.9,1138,71.9,420.0
BAT-009,4.17,1.33,44.7,404,86.67,732.0
BAT-008,4.01,2.02,46.7,849,75.67,515.0
BAT-001,4.04,1.99,36.3,875,77.61,553.0
BAT-008,3.49,1.72,26.1,447,89.97,801.0
BAT-008,3.66,0.71,27.7,929,76.31,534.0
BAT-003,3.3,0.8,28.9,512,85.8,729.0
BAT-001,3.24,0.69,37.8,857,79.05,580.0
BAT-008,3.61,1.65,21.0,236,93.31,856.0
BAT-003,3.71,2.25,39.1,781,79.41,594.0
BAT-003,3.41,1.37,30.9,478,88.77,773.0
BAT-001,3.68,0.82,28.9,907,76.5,543.0
BAT-005,4.06,1.62,46.4,286,90.09,796.0
BAT-010,3.67,2.12,33.8,820,78.07,553.0
BAT-007,3.86,1.98,22.9,807,80.73,616.0
BAT-010,3.97,2.26,44.8,185,94.45,872.0
BAT-009,4.19,1.06,21.4,841,79.01,576.0
BAT-007,3.72,0.89,41.8,220,94.7,891.0
BAT-009,3.97,2.26,43.2,208,93.01,862.0
BAT-008,4.16,1.82,30.6,250,94.48,880.0
BAT-002,4.13,1.12,44.7,1011,72.32,438.0
BAT-001,3.17,1.98,35.5,632,85.49,721.0
BAT-007,3.49,2.13,33.9,925,77.56,551.0
BAT-007,3.39,1.73,21.4,420,89.37,796.0
BAT-008,3.1,1.88,28.7,152,97.26,940.0
BAT-005,3.76,1.25,47.9,1051,72.82,456.0
BAT-003,3.88,1.58,31.8,1198,70.93,421.0
BAT-008,4.02,1.55,36.4,1025,70.75,433.0
BAT-006,3.15,2.2,36.0,847,78.45,567.0
BAT-003,4.05,2.18,37.7,707,81.6,630.0
BAT-001,3.77,2.17,21.8,931,77.2,555.0
BAT-003,3.84,0.52,30.9,782,80.08,598.0
BAT-005,4.09,2.0,41.7,472,86.78,738.0
BAT-003,3.75,2.02,26.0,621,85.66,723.0
BAT-001,3.4,1.86,26.1,220,94.93,893.0
BAT-005,3.99,2.01,20.3,222,94.67,897.0
BAT-010,3.44,2.18,33.1,712,82.53,668.0
BAT-007,3.04,1.44,46.5,502,85.72,724.0
BAT-007,4.0,1.5,21.6,399,90.54,814.0
BAT-009,3.41,0.75,25.7,543,88.22,762.0
BAT-010,3.93,1.27,29.3,669,82.41,642.0
BAT-010,3.44,1.79,42.0,1077,69.86,387.0
BAT-003,4.03,2.06,39.2,1166,69.5,405.0
BAT-007,3.26,0.93,32.5,968,75.27,518.0
BAT-001,4.17,0.78,42.8,55,97.57,945.0
BAT-004,3.94,1.83,38.3,337,90.35,810.0
BAT-004,3.14,0.5,46.9,657,82.14,644.0
BAT-005,3.68,0.86,44.5,506,87.9,770.0
BAT-007,4.18,0.56,27.6,1079,73.57,475.0
BAT-007,3.57,0.83,28.1,673,83.84,677.0
BAT-004,3.22,0.86,23.8,425,89.25,779.0
BAT-007,3.58,1.28,30.1,496,85.7,717.0
BAT-003,3.61,1.3,50.0,884,73.1,459.0
BAT-006,3.89,2.25,32.2,1179,69.29,388.0
BAT-002,3.84,1.52,26.6,860,75.76,514.0
BAT-010,3.48,1.95,42.9,1169,69.5,386.0
BAT-009,3.26,0.71,36.3,1008,73.29,456.0
BAT-005,3.77,0.95,24.5,898,76.24,530.0
BAT-006,3.51,1.91,31.4,858,78.04,561.0
BAT-004,3.16,0.61,32.4,1028,72.82,474.0
BAT-010,4.08,1.47,42.6,465,87.06,731.0
BAT-007,3.83,1.7,20.6,775,81.33,633.0
BAT-009,3.82,1.7,28.1,503,86.42,727.0
BAT-007,3.99,0.55,35.5,199,93.73,896.0
BAT-001,3.64,1.14,28.1,808,79.71,600.0
BAT-001,3.98,1.77,38.9,828,76.51,533.0
BAT-009,3.6,0.8,34.5,1022,73.72,474.0
BAT-009,3.08,1.89,30.9,812,77.68,547.0
BAT-004,3.49,1.99,48.5,1051,71.94,442.0
BAT-009,3.6,2.46,39.0,125,95.04,887.0
BAT-003,3.86,0.92,23.9,648,82.36,634.0
BAT-007,3.13,2.15,36.8,274,91.39,838.0
BAT-006,3.17,1.54,43.4,162,93.57,854.0
BAT-008,3.32,1.25,41.3,300,91.94,836.0
BAT-009,3.32,0.74,25.2,890,77.91,548.0
BAT-005,3.88,1.97,49.2,763,77.55,547.0
BAT-001,3.3,0.97,33.5,1156,71.9,440.0
BAT-003,3.76,1.24,24.8,174,96.28,935.0
BAT-010,3.59,0.63,25.4,1142,71.07,434.0
BAT-008,3.69,2.1,22.9,1120,70.45,400.0
BAT-006,4.01,2.03,44.1,933,74.34,482.0
BAT-008,3.49,1.97,23.7,79,97.8,997.0
BAT-009,3.93,1.1,23.8,330,92.12,840.0
BAT-004,3.51,0.85,45.5,973,74.23,476.0
BAT-001,3.42,1.78,30.3,417,89.85,790.0
BAT-001,4.15,1.49,20.9,544,84.79,693.0
BAT-010,3.22,0.86,21.6,1098,72.76,451.0
BAT-004,3.11,1.87,24.3,767,80.67,611.0
BAT-007,3.93,2.48,26.4,1066,75.89,518.0
BAT-002,3.08,1.99,40.0,655,82.19,644.0
BAT-003,4.0,1.98,24.7,424,88.78,766.0
BAT-001,3.52,2.4,23.6,688,82.91,662.0
BAT-005,4.1,0.91,42.9,1098,70.75,416.0
BAT-001,3.87,1.63,40.1,165,92.37,852.0
BAT-008,3.73,2.46,33.1,97,97.18,926.0
BAT-001,4.14,0.83,36.5,148,94.84,898.0
BAT-001,3.48,1.9,29.4,454,88.19,744.0
BAT-002,4.14,1.67,34.5,734,79.83,595.0
BAT-002,3.16,1.67,35.2,952,74.09,488.0
BAT-006,3.58,1.9,31.6,552,86.42,739.0
BAT-007,3.32,2.36,47.2,943,75.31,510.0
BAT-005,3.65,2.07,20.5,307,92.74,862.0
BAT-001,3.19,0.61,43.5,893,74.02,477.0
BAT-001,4.01,2.21,23.7,170,96.23,920.0
BAT-003,4.02,0.95,43.9,859,74.84,524.0
BAT-002,4.15,1.25,38.5,1027,72.32,455.0
BAT-005,3.19,1.42,45.3,103,96.26,913.0
BAT-010,3.75,1.46,22.9,1068,73.96,462.0
BAT-006,3.57,1.37,36.8,833,78.46,564.0
BAT-007,3.41,2.37,35.0,290,93.06,873.0
BAT-004,3.42,1.91,41.2,532,85.64,713.0
BAT-007,3.5,1.76,36.0,1062,70.33,384.0
BAT-008,3.85,0.6,36.2,236,92.61,850.0
BAT-001,3.72,2.31,32.9,705,81.54,631.0
BAT-006,3.55,2.32,29.3,311,91.64,809.0
BAT-008,3.09,2.06,34.5,1002,73.39,468.0
BAT-005,3.09,0.51,23.6,540,85.47,699.0
BAT-004,3.0,0.61,48.8,480,88.02,742.0
BAT-002,4.16,0.95,41.4,288,90.77,831.0
BAT-006,3.01,0.76,48.6,353,91.17,813.0
BAT-006,3.12,1.3,26.8,347,90.0,793.0
BAT-001,3.38,2.35,46.4,125,95.39,901.0
BAT-009,3.97,1.44,44.3,1048,72.1,442.0
BAT-006,4.15,0.53,40.3,691,80.27,623.0
BAT-003,3.95,1.07,38.8,876,76.26,513.0
BAT-004,3.83,0.59,29.5,332,91.24,822.0
BAT-004,3.63,0.57,44.5,640,81.21,625.0
BAT-003,3.1,1.05,35.0,121,95.71,906.0
BAT-010,4.15,1.05,22.1,752,78.84,573.0
BAT-003,3.91,2.07,29.4,624,84.67,699.0
BAT-003,3.77,2.45,48.1,1049,72.7,446.0
BAT-004,3.91,1.24,45.5,941,74.88,494.0
BAT-007,3.87,1.36,49.5,61,98.29,962.0
BAT-004,3.76,2.19,38.8,190,94.55,890.0
BAT-009,4.18,1.04,27.4,66,99.25,987.0
BAT-001,4.08,0.81,24.9,1136,72.84,463.0
BAT-008,3.78,2.21,25.6,302,89.64,812.0
BAT-007,3.83,0.59,20.6,514,87.57,725.0
BAT-002,3.06,1.74,31.7,425,87.32,745.0
BAT-008,3.8,1.62,25.7,1030,72.99,446.0
BAT-001,3.05,1.19,32.3,569,84.03,677.0
BAT-009,3.71,1.13,48.0,139,93.91,887.0
BAT-009,4.2,2.04,32.9,769,80.63,625.0
BAT-002,3.67,0.67,46.3,853,76.98,552.0
BAT-007,3.57,0.97,38.2,845,77.55,563.0
BAT-010,3.38,1.96,27.4,679,83.51,668.0
BAT-003,3.14,1.6,30.7,125,97.09,956.0
BAT-007,3.88,0.76,22.5,975,76.07,537.0
BAT-010,3.23,2.26,30.0,449,86.55,732.0
BAT-009,3.14,1.29,40.3,1019,72.25,457.0
BAT-004,3.51,2.16,22.2,1144,71.43,429.0
BAT-001,3.95,2.08,26.2,1197,70.69,428.0
BAT-002,3.89,1.75,31.4,846,76.88,536.0
BAT-001,3.07,1.49,49.5,244,91.44,823.0
BAT-005,3.55,2.46,43.5,277,89.65,782.0
BAT-005,3.63,0.79,42.0,510,86.58,730.0
BAT-007,3.77,1.95,23.5,667,83.57,672.0
BAT-009,3.78,0.88,43.4,1094,69.46,380.0
BAT-009,3.44,1.18,43.6,113,93.97,877.0
BAT-003,3.67,1.12,38.0,214,93.73,869.0
BAT-003,3.58,2.39,49.7,76,97.0,929.0
BAT-003,4.06,2.43,29.8,1061,71.9,448.0
BAT-004,3.64,0.87,48.2,334,90.11,814.0
BAT-008,3.53,0.54,47.4,330,88.96,790.0
BAT-006,3.49,1.94,20.3,887,78.65,572.0
BAT-008,3.69,1.34,33.5,880,77.83,556.0
BAT-001,3.96,0.68,49.3,967,73.55,460.0
BAT-008,3.65,1.87,23.1,273,91.34,831.0
BAT-004,3.79,1.59,36.4,833,78.71,576.0
BAT-001,3.89,2.46,49.4,1014,72.72,483.0
BAT-008,3.62,0.95,36.7,999,74.27,496.0
BAT-004,3.51,1.31,25.7,1103,72.55,454.0
BAT-006,4.05,1.59,37.5,94,95.52,910.0
BAT-008,3.5,2.08,26.1,520,87.97,769.0
BAT-004,3.55,1.6,35.6,83,97.76,946.0
BAT-003,4.19,1.73,22.2,702,81.37,639.0
BAT-009,3.0,0.95,38.2,879,78.02,550.0
BAT-003,3.22,2.19,35.5,270,92.33,841.0
BAT-009,3.46,1.36,42.2,583,83.83,658.0
BAT-002,4.12,0.78,38.9,741,79.91,604.0
BAT-002,3.08,1.83,36.5,981,74.25,487.0
BAT-002,3.01,0.93,40.7,890,77.55,545.0
BAT-006,3.06,0.7,24.3,1060,74.53,481.0
BAT-003,3.11,2.22,37.9,631,83.95,693.0
BAT-009,3.05,1.42,25.2,1189,70.44,408.0
BAT-004,3.58,2.0,47.8,288,91.41,821.0
BAT-001,3.7,1.08,22.1,490,86.92,758.0
BAT-004,3.33,2.07,32.9,197,94.87,891.0
BAT-001,3.48,0.72,40.9,1082,71.21,436.0
BAT-005,3.11,1.21,33.7,437,86.14,711.0
BAT-004,3.4,2.46,22.8,1123,70.34,403.0
BAT-008,3.63,2.09,36.6,965,74.05,486.0
BAT-008,3.88,1.49,39.2,687,81.82,636.0
BAT-007,3.0,1.18,41.1,327,89.55,793.0
BAT-003,3.56,2.24,31.2,1038,72.84,451.0
BAT-001,3.36,1.59,36.9,638,83.62,656.0
BAT-001,4.02,2.02,33.5,698,81.14,638.0
BAT-003,3.86,2.01,40.2,667,83.14,658.0
BAT-006,3.71,0.54,37.5,184,95.31,909.0
BAT-007,3.33,0.75,35.8,629,83.22,671.0
BAT-006,4.09,1.82,27.5,539,87.03,744.0
BAT-006,3.05,0.82,20.1,527,87.44,742.0
BAT-006,3.13,1.01,25.2,433,88.91,790.0
BAT-003,3.47,2.39,23.5,212,95.56,916.0
BAT-006,3.15,1.62,33.5,490,87.91,760.0
BAT-008,4.15,2.0,38.4,464,86.11,724.0
BAT-002,3.96,1.62,26.4,337,91.59,849.0
BAT-005,3.31,1.61,48.2,236,91.93,831.0
BAT-001,3.71,0.69,20.2,179,96.37,932.0
BAT-001,4.18,1.19,43.2,243,91.66,828.0
BAT-005,4.06,1.06,38.8,365,88.9,759.0
BAT-003,3.72,1.28,31.2,193,94.72,875.0
BAT-004,4.08,2.1,21.5,65,99.56,981.0
BAT-003,4.19,1.24,38.8,472,85.62,706.0
BAT-001,3.89,1.4,31.6,294,90.97,841.0
BAT-001,3.08,1.29,48.1,976,72.77,462.0
BAT-005,3.48,0.69,36.3,1180,69.03,389.0
BAT-006,4.01,1.38,48.2,1161,66.89,331.0
BAT-003,3.28,0.89,26.6,178,96.89,938.0
BAT-009,4.0,0.87,41.8,956,74.29,509.0
BAT-005,3.14,0.69,38.5,936,74.97,487.0
BAT-008,3.06,1.21,42.2,390,90.15,808.0
BAT-001,3.46,2.01,26.4,53,99.25,1000.0
BAT-005,3.04,1.05,39.9,355,89.09,792.0
BAT-003,4.15,1.12,34.9,957,75.25,523.0
BAT-001,3.99,1.79,42.3,656,81.83,639.0
BAT-004,3.96,0.89,29.8,1041,74.94,505.0
BAT-005,3.76,2.29,46.7,370,88.41,769.0
BAT-007,3.26,1.54,22.5,608,83.36,672.0
BAT-001,3.62,1.4,44.2,667,79.53,581.0
BAT-003,3.72,1.62,45.8,760,80.39,616.0
BAT-002,3.63,0.83,44.5,1181,67.73,358.0
BAT-009,3.31,1.73,35.4,580,85.13,703.0
BAT-010,3.62,1.23,33.2,459,87.78,773.0
BAT-006,3.59,2.29,49.9,867,75.42,506.0
BAT-010,4.2,0.84,26.9,542,86.0,732.0
BAT-003,4.08,1.51,36.4,61,98.92,991.0
BAT-008,3.56,1.7,40.1,244,90.94,827.0
BAT-008,3.75,0.57,41.0,539,84.54,681.0
BAT-002,3.9,1.23,26.1,844,79.69,597.0
BAT-006,3.04,1.97,39.6,930,74.0,500.0
BAT-007,4.07,2.14,44.6,231,93.59,854.0
BAT-002,4.03,1.13,21.5,1011,75.62,510.0
BAT-010,3.55,2.1,47.3,705,80.41,620.0
BAT-002,3.47,2.44,20.9,743,80.92,617.0
BAT-010,3.33,2.21,30.7,79,96.05,929.0
BAT-001,3.57,0.74,20.5,1169,71.48,444.0
BAT-008,3.05,1.98,22.3,827,82.07,644.0
BAT-001,4.02,1.14,47.3,493,85.59,717.0
BAT-009,3.04,2.48,30.6,347,88.93,780.0
BAT-006,3.39,1.47,32.7,857,78.26,568.0
BAT-007,4.12,0.74,26.5,894,78.36,588.0
BAT-010,3.88,1.95,37.9,1065,71.17,423.0
BAT-007,3.34,1.15,37.8,603,83.0,656.0
BAT-010,3.3,2.49,31.2,352,89.84,807.0
BAT-003,3.01,2.46,30.0,470,87.22,736.0
BAT-002,3.83,1.81,46.5,234,91.82,830.0
BAT-009,3.06,0.76,31.5,517,85.56,705.0
BAT-008,3.64,1.87,34.8,803,77.71,552.0
BAT-010,4.15,0.69,28.5,412,89.52,788.0
BAT-007,3.13,0.56,43.6,385,88.33,774.0
BAT-009,4.07,2.15,31.9,211,93.6,869.0
BAT-004,4.19,0.92,35.4,61,97.52,958.0
BAT-004,3.07,1.26,27.6,1146,69.57,400.0
BAT-001,4.06,2.45,49.6,637,81.88,631.0
BAT-008,3.62,1.17,28.7,250,92.96,868.0
BAT-003,4.09,1.09,43.1,571,84.15,692.0
BAT-007,3.69,2.34,32.8,554,85.77,698.0
BAT-002,3.79,0.72,26.2,837,80.09,605.0
BAT-002,3.65,2.02,44.0,1112,70.4,403.0
BAT-007,4.04,2.48,30.0,109,97.84,970.0
BAT-006,3.88,2.3,46.0,627,81.91,633.0
BAT-003,3.63,1.8,47.5,370,88.23,751.0
BAT-009,4.04,1.13,45.8,972,73.53,470.0
BAT-010,3.29,1.01,21.1,618,85.32,698.0
BAT-006,3.19,2.14,43.6,1151,69.99,408.0
BAT-010,3.19,2.26,32.3,576,85.0,692.0
BAT-010,3.4,1.55,46.2,573,82.33,646.0
BAT-006,3.29,0.99,39.1,662,82.65,668.0
BAT-001,4.12,0.73,45.0,174,92.79,867.0
BAT-004,3.13,0.67,35.0,920,75.09,506.0
BAT-010,3.84,1.94,36.1,329,89.53,789.0
BAT-006,3.23,1.34,24.3,966,75.77,519.0
BAT-006,4.06,2.31,43.5,671,82.58,659.0
BAT-005,4.15,1.98,32.6,895,75.9,508.0
BAT-001,3.56,0.88,35.0,723,82.6,661.0
BAT-008,4.05,1.73,43.6,363,89.98,789.0
BAT-005,3.01,1.37,38.0,381,87.71,760.0
BAT-005,3.98,1.65,26.0,85,97.39,937.0
BAT-007,3.27,1.98,37.7,1095,70.31,426.0
BAT-004,4.09,2.11,32.2,255,93.57,879.0
BAT-006,3.0,2.19,34.1,688,80.9,603.0
BAT-004,3.67,1.01,20.8,897,75.95,519.0
BAT-003,3.91,0.56,26.3,489,87.32,741.0
BAT-007,3.31,1.98,28.4,778,81.38,621.0
BAT-008,3.23,0.71,41.4,1169,68.94,380.0
BAT-004,3.1,1.13,20.3,990,75.65,504.0
BAT-002,3.39,0.51,32.3,213,94.39,895.0
BAT-010,3.67,1.86,47.7,197,91.29,833.0
BAT-003,3.14,0.83,23.4,343,90.53,814.0
BAT-001,3.45,1.81,35.5,244,92.86,857.0
BAT-008,3.01,2.48,43.6,712,79.78,602.0
BAT-003,3.98,0.65,48.3,529,86.15,731.0
BAT-010,3.15,0.65,42.4,172,92.73,859.0
BAT-007,3.34,1.18,41.6,748,78.73,561.0
BAT-010,3.02,2.23,44.8,1014,72.96,451.0
BAT-005,3.52,0.93,33.4,710,80.78,613.0
BAT-010,4.01,1.22,44.2,1177,65.77,301.0
BAT-005,3.47,0.64,20.2,759,82.96,661.0
BAT-007,3.22,2.03,47.7,445,85.53,725.0
BAT-009,3.9,1.32,33.3,961,75.71,527.0
BAT-005,3.95,2.02,36.6,1054,71.24,432.0
BAT-001,3.21,2.31,27.6,366,89.72,802.0
BAT-010,3.93,0.97,42.3,730,78.4,590.0
BAT-010,4.14,2.11,22.3,544,85.66,722.0
BAT-001,3.2,0.62,46.2,605,82.11,652.0
BAT-002,3.93,2.3,44.8,659,81.41,614.0
BAT-006,3.85,1.8,26.5,158,95.53,924.0
BAT-009,3.57,2.25,44.3,421,86.11,726.0
BAT-008,3.07,0.5,43.6,904,75.02,500.0
BAT-005,3.09,0.84,39.0,665,83.43,665.0
BAT-001,4.02,1.28,31.2,817,80.28,600.0
BAT-007,4.19,1.26,28.1,255,93.77,888.0
BAT-005,3.81,0.95,27.0,896,78.07,561.0
BAT-006,3.54,1.26,29.6,92,99.3,981.0
BAT-007,3.78,0.76,47.1,914,75.51,502.0
BAT-003,3.71,1.33,22.3,834,79.79,598.0
BAT-010,3.46,2.1,44.9,525,83.32,663.0
BAT-003,3.08,1.46,30.5,132,95.04,895.0
BAT-005,3.99,0.54,35.6,1183,69.33,373.0
BAT-006,3.45,1.34,43.8,239,91.33,836.0
BAT-009,3.98,0.55,46.5,849,75.62,511.0
BAT-005,3.3,2.43,30.3,985,73.96,468.0
BAT-001,3.0,0.75,33.9,300,90.19,801.0
BAT-004,3.19,1.92,32.4,340,89.97,805.0
BAT-005,3.56,2.45,20.4,375,90.96,820.0
BAT-010,4.13,2.15,28.9,886,79.26,587.0
BAT-010,3.12,1.9,33.8,557,85.99,720.0
BAT-005,4.03,2.18,32.3,780,80.4,595.0
BAT-007,3.63,2.46,41.7,121,93.69,883.0
BAT-004,3.99,1.74,31.5,690,82.21,627.0
BAT-001,3.36,1.62,34.7,989,74.24,489.0
BAT-005,4.01,1.76,32.9,657,83.08,668.0
BAT-007,3.93,1.57,42.2,615,82.54,649.0
BAT-010,3.28,1.77,45.9,103,97.0,943.0
BAT-010,3.16,1.4,36.0,577,84.53,688.0
BAT-006,4.04,0.94,43.7,660,81.78,639.0
BAT-005,4.16,0.74,28.9,242,91.6,842.0
BAT-004,3.04,0.64,36.2,107,96.09,914.0
BAT-002,3.88,1.03,30.4,1184,71.01,427.0
BAT-004,4.09,0.59,32.4,178,95.36,924.0
BAT-010,4.03,1.63,42.0,755,77.27,548.0
BAT-010,4.16,1.07,46.4,901,74.88,493.0
BAT-003,3.91,2.15,23.6,57,100.0,1000.0
BAT-010,3.53,0.65,39.0,78,96.5,931.0
BAT-001,3.37,0.95,37.5,1185,69.45,391.0
BAT-008,3.38,1.96,23.6,996,76.72,537.0
BAT-005,3.87,1.7,26.4,180,95.21,909.0
BAT-004,3.9,0.63,29.3,237,94.43,885.0
BAT-008,3.24,2.25,25.0,758,81.46,631.0
BAT-007,4.04,2.25,27.3,261,93.87,887.0
BAT-002,3.86,1.16,28.0,325,91.95,835.0
BAT-001,3.68,1.18,30.1,1146,70.3,402.0
BAT-004,3.57,2.48,42.5,292,90.5,807.0
BAT-008,3.65,1.75,37.2,1175,68.55,360.0
BAT-002,3.19,1.56,49.6,1036,70.0,393.0
BAT-003,3.24,2.18,32.4,734,82.15,636.0
BAT-001,3.11,1.07,42.6,220,92.75,855.0
BAT-001,3.18,1.36,46.1,702,81.53,639.0
BAT-003,3.54,1.04,40.4,237,94.1,897.0
BAT-005,3.64,2.08,32.4,1159,70.34,407.0
BAT-003,3.02,1.65,42.6,101,94.4,893.0
BAT-001,3.96,1.82,26.1,160,95.69,916.0
BAT-001,3.35,1.0,29.8,926,75.7,493.0
BAT-008,4.09,0.94,36.4,1116,68.98,368.0
BAT-010,4.16,1.48,37.3,260,91.77,843.0
BAT-002,3.22,1.98,20.7,907,77.25,554.0
BAT-003,3.55,1.55,48.4,676,80.12,611.0
BAT-002,3.0,0.57,40.9,1099,70.16,401.0
BAT-003,3.72,2.24,34.9,348,89.04,761.0
BAT-007,3.73,0.63,48.0,1150,69.15,373.0
BAT-001,3.3,2.41,33.2,973,76.73,526.0
BAT-010,3.67,0.55,49.4,186,94.19,890.0
BAT-008,3.27,1.89,35.4,1093,72.29,442.0
BAT-010,3.19,0.66,23.4,489,88.45,786.0
BAT-010,3.78,2.32,42.9,260,91.57,846.0
BAT-010,3.39,1.43,40.4,801,76.63,549.0
BAT-002,3.71,0.78,43.2,484,85.71,705.0
BAT-003,3.52,1.18,48.5,829,75.95,524.0
BAT-009,4.18,0.83,43.3,488,86.13,718.0
BAT-007,3.18,0.84,38.3,715,82.02,644.0
BAT-004,3.56,2.4,45.7,1115,72.03,432.0
BAT-010,3.82,1.39,40.2,460,87.04,753.0
BAT-005,3.47,2.08,32.2,855,76.23,517.0
BAT-002,4.17,1.78,46.6,659,81.43,609.0
BAT-008,3.87,1.85,26.7,476,88.02,781.0
BAT-004,3.79,0.76,41.4,951,75.26,510.0
BAT-009,3.91,0.97,46.4,991,73.06,451.0
BAT-005,4.14,2.07,41.9,791,78.6,570.0
BAT-009,4.09,2.44,40.9,377,88.35,761.0
BAT-004,3.87,1.03,42.6,101,95.41,908.0
BAT-010,3.9,1.04,34.0,425,88.99,788.0
BAT-005,3.18,1.45,46.2,312,88.07,768.0
BAT-009,3.12,2.47,26.1,316,91.67,836.0
BAT-008,3.69,1.04,23.8,408,90.49,810.0
BAT-003,3.02,1.31,28.6,701,83.76,686.0
BAT-001,3.58,2.28,35.9,95,96.13,903.0
BAT-003,3.25,0.51,35.3,649,83.93,671.0
BAT-004,3.42,0.58,44.6,769,80.5,600.0
BAT-002,3.93,1.71,32.1,650,82.65,663.0
BAT-001,4.13,2.31,34.5,430,87.74,747.0
BAT-007,3.09,0.98,20.4,167,95.64,900.0
BAT-008,3.64,1.44,32.3,165,95.06,907.0
